#Basin family:
{5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32}

#Process list
#Start basin 	 end basin 	Transition state 	 Energy barrier 	 Start point [a, b, c] 	End point [a, b, c] 	 process vector (a, b, c)
             6 	         14 	             26 	    22.224936 	          [0, 22, 16]         [11, 32, 20]            (0, 0, 0) 
            17 	         20 	             27 	    23.684516 	         [12, 11, 52]          [22, 0, 48]            (0, 0, 0) 
            20 	         17 	             27 	    22.224936 	          [22, 0, 48]         [12, 11, 52]            (0, 0, 0) 
            18 	         20 	             28 	    23.684516 	         [12, 33, 52]          [22, 0, 48]            (0, 1, 0) 
            20 	         18 	             28 	    22.224936 	          [22, 0, 48]         [12, 33, 52]           (0, -1, 0) 
            20 	         21 	             29 	    22.224936 	          [22, 0, 48]         [32, 11, 52]            (0, 0, 0) 
            21 	         20 	             29 	    23.684516 	         [32, 11, 52]          [22, 0, 48]            (0, 0, 0) 
            20 	         22 	             30 	    22.224936 	          [22, 0, 48]         [32, 33, 52]           (0, -1, 0) 
            22 	         20 	             30 	    23.684516 	         [32, 33, 52]          [22, 0, 48]            (0, 1, 0) 
            29 	          6 	             31 	    23.684516 	         [33, 12, 20]          [0, 22, 16]            (1, 0, 0) 
             6 	         29 	             31 	    22.224936 	          [0, 22, 16]         [33, 12, 20]           (-1, 0, 0) 
            30 	          6 	             32 	    23.684516 	         [33, 32, 20]          [0, 22, 16]            (1, 0, 0) 
             6 	         30 	             32 	    22.224936 	          [0, 22, 16]         [33, 32, 20]           (-1, 0, 0) 
            17 	          5 	             33 	    24.392446 	         [12, 11, 52]          [0, 22, 47]            (0, 0, 0) 
             5 	         17 	             33 	    23.777037 	          [0, 22, 47]         [12, 11, 52]            (0, 0, 0) 
            21 	          5 	             34 	    24.392446 	         [32, 11, 52]          [0, 22, 47]            (1, 0, 0) 
             5 	         21 	             34 	    23.777037 	          [0, 22, 47]         [32, 11, 52]           (-1, 0, 0) 
            18 	          5 	             35 	    24.392446 	         [12, 33, 52]          [0, 22, 47]            (0, 0, 0) 
             5 	         18 	             35 	    23.777037 	          [0, 22, 47]         [12, 33, 52]            (0, 0, 0) 
             5 	         22 	             36 	    23.777037 	          [0, 22, 47]         [32, 33, 52]           (-1, 0, 0) 
            22 	          5 	             36 	    24.392446 	         [32, 33, 52]          [0, 22, 47]            (1, 0, 0) 
            19 	         13 	             37 	    23.777037 	          [22, 0, 15]         [11, 12, 20]            (0, 0, 0) 
            13 	         19 	             37 	    24.392446 	         [11, 12, 20]          [22, 0, 15]            (0, 0, 0) 
            19 	         14 	             38 	    23.777037 	          [22, 0, 15]         [11, 32, 20]           (0, -1, 0) 
            14 	         19 	             38 	    24.392446 	         [11, 32, 20]          [22, 0, 15]            (0, 1, 0) 
            19 	         29 	             39 	    23.777037 	          [22, 0, 15]         [33, 12, 20]            (0, 0, 0) 
            29 	         19 	             39 	    24.392446 	         [33, 12, 20]          [22, 0, 15]            (0, 0, 0) 
            19 	         30 	             40 	    23.777037 	          [22, 0, 15]         [33, 32, 20]           (0, -1, 0) 
            30 	         19 	             40 	    24.392446 	         [33, 32, 20]          [22, 0, 15]            (0, 1, 0) 
