Minimum energy pathway for tunnel system 1 in a direction
Start Basin ID End Basin ID   TS ID          Start Basin E  End Basin E    TS E           Start Coord.   End Coord.     PBC Crossing   
5              17             33             8.2529         7.6375         32.0300        0.0000         0.2727         0              
17             20             27             7.6375         9.0971         31.3221        0.2727         0.5000         0              
20             21             29             9.0971         7.6375         31.3221        0.5000         0.7273         0              
21             5              34             7.6375         8.2529         32.0300        0.7273         0.0000         1              
